paper_id,year,volume,issue,batch_id,title,first_author,n_authors,pages,doi,record_type,formalism,citation_integrity,structural_integrity,artifact_availability,intellectual_integrity,composite,final,classification,disqualified,flags
cucu2015,2015,18,1,2015-v18-n1,The SpeeD Grammar-based ASR System for the Romanian Language,Horia Cucu,3,33-53,,research,80,85,85,60,83.0,77.25,77.25,ADEQUATE,False,
petrica2015,2015,18,1,2015-v18-n1,IxFIZZ: Integrated Functional and Fuzz Testing Framework based on Sulley and SPIN,Lucian Petrica,4,54-68,,research,85,85,85,50,85.0,76.25,76.25,ADEQUATE,False,
chitescu2015,2015,18,1,2015-v18-n1,Approximation of Kothe-Bochner Spaces L_rho(X) in case X has a Schauder Basis,Ion Chitescu,3,69-78,,research,95,90,85,0,90.75,68.06,68.06,ADEQUATE,False,
zene2015,2015,18,1,2015-v18-n1,Efficient Hardware Implementation of Snapshotting Algorithms for NoC Applications,Andrei Zene,4,79-92,,research,80,85,90,50,84.25,75.69,75.69,ADEQUATE,False,
paun2015,2015,18,2,2015-v18-n2,HPC Application in Cloud Environment,M. Paun,4,109-125,,research,85,90,85,30,86.75,72.56,72.56,ADEQUATE,False,
maican2015,2015,18,2,2015-v18-n2,Minimum Spanning Tree Algorithm on MapReduce One-Chip Architecture,Voichita Maican,1,126-143,,research,80,90,85,60,84.75,78.56,78.56,ADEQUATE,False,
hayat2015,2015,18,2,2015-v18-n2,Computing Topological Indices of Honeycomb Derived Networks,Sakander Hayat,3,144-165,,research,90,85,85,20,87.0,70.25,70.25,ADEQUATE,False,
teodorescu2015,2015,18,2,2015-v18-n2,On the Regularities and Randomness of the Dynamics of Simple and Composed CAs with Applications,Horia-Nicolai Teodorescu,1,166-181,,research,80,90,80,40,83.5,72.62,72.62,ADEQUATE,False,
simecek2015,2015,18,2,2015-v18-n2,Utilization of GPU Acceleration in Le Bail Fitting Method,I. Simecek,3,182-196,,research,75,90,85,50,82.75,74.56,74.56,ADEQUATE,False,
diazpernil2015,2015,18,3,2015-v18-n3,Recognizer P Systems with Antimatter,Daniel Diaz-Pernil,5,201-227,,research,90,95,90,30,91.75,76.31,76.31,ADEQUATE,False,
jwang2015,2015,18,3,2015-v18-n3,Decision Tree Models Induced by Membrane Systems,Jun Wang,5,228-239,,research,55,90,75,30,72.25,61.69,56.69,LIMITED,False,ELEVATED_FORMALISM
twang2015a,2015,18,3,2015-v18-n3,Fault Section Estimation of Power Systems with Optimization Spiking Neural P Systems,Tao Wang,5,240-255,,research,65,85,80,30,75.75,64.31,64.31,ADEQUATE,False,
twang2015b,2015,18,3,2015-v18-n3,Fault Diagnosis of Metro Traction Power Systems Using A Modified Fuzzy Reasoning Spiking Neural P System,Yangyang He,5,256-272,,research,70,85,80,30,77.75,65.81,65.81,ADEQUATE,False,
zhang2015,2015,18,3,2015-v18-n3,On String Languages Generated by Numerical P Systems,Zhiqiang Zhang,4,273-295,,research,95,95,90,20,93.75,75.31,75.31,ADEQUATE,False,
radescu2015,2015,18,4,2015-v18-n4,On Additional Constrains in Lossless Compression of Text Files,Radu Radescu,1,299-311,,research,30,40,70,30,43.5,40.12,24.0,CRITICAL,True,EXCESSIVE_SELF_CITATION|ELEVATED_SELF_CITATION
frunza2015,2015,18,4,2015-v18-n4,Dielectric Properties of LDH-Type Layered Materials Containing Zn or Mg Ions: On the Non Monotonous Temperature Dependence of Relaxation Times,Ligia Frunza,6,312-328,,research,85,90,85,40,86.75,75.06,75.06,ADEQUATE,False,
lazar2015,2015,18,4,2015-v18-n4,P-Type Doping of 4H-SiC for Integrated Bipolar and Unipolar Devices,M. Lazar,10,329-342,,research,90,90,85,60,88.75,81.56,81.56,STRONG,False,
volmer2015,2015,18,4,2015-v18-n4,Detection of Magnetic Nanoparticles for Lab-on-a Chip Applications,Marius Volmer,3,343-355,,research,80,90,80,50,83.5,75.12,75.12,ADEQUATE,False,
amariutei2015,2015,18,4,2015-v18-n4,On the Suppression of Output Oscillations in a Software Controlled DC-DC Buck Converter,Roxana-Daniela Amariutei,5,356-375,,research,80,90,85,50,84.75,76.06,76.06,ADEQUATE,False,
paun2015,2015,18,4,2015-v18-n4,On the Necessary Verification of Fabrication Stages for SOI CMOS Humidity Sensors,Maria-Alexandra Paun,3,376-387,,research,75,90,80,50,81.5,73.62,73.62,ADEQUATE,False,
purdila2015,2015,18,4,2015-v18-n4,Low-Voltage Controlled Floating Buck Converter with Imbalanced Stacked MOSFETs Switch (ISMS) for High LED Driving Capability,Anca Gabriela Purdila,5,388-407,,research,80,85,90,70,84.25,80.69,80.69,STRONG,False,
chaturvedi2016,2016,19,3,2016-v19-n3,Extraction of Transmission Line Parameters and Effect of Conductive Substrates on their Characteristics,Saurabh Chaturvedi,3,199-212,,research,85,90,85,50,86.75,77.56,77.56,ADEQUATE,False,
buiculescu2016,2016,19,3,2016-v19-n3,Backscattering Modulators for UWB Antenna Measurement,V. Buiculescu,2,213-225,,research,85,90,85,70,86.75,82.56,82.56,STRONG,False,
bunea2016,2016,19,3,2016-v19-n3,W-Band receiver with Zero Bias Diode operated in the 23K - 295K temperature range,A.C. Bunea,4,226-238,,research,85,90,85,60,86.75,80.06,80.06,STRONG,False,
fanoro2016,2016,19,3,2016-v19-n3,Investigation of 60 GHz LNA with estimated S11 values based on mathematical model and numerical solution,M. Fanoro,3,239-254,,research,80,90,80,40,83.5,72.62,72.62,ADEQUATE,False,
gheorghe2016,2016,19,3,2016-v19-n3,"Advanced Calibration Method, with Thermal Compensation, for 3-Axis MEMS Accelerometers",Marius Gheorghe,1,255-268,,research,80,90,85,60,84.75,78.56,78.56,ADEQUATE,False,
voicu2016,2016,19,3,2016-v19-n3,SU-8 Microgrippers based on V-shaped Electrothermal Actuators with Implanted Heaters,R-C. Voicu,6,269-281,,research,85,90,90,80,88.0,86.0,86.0,STRONG,False,
istrate2016,2016,19,3,2016-v19-n3,Scaling the graphene-silicon heterojunctions: fabrication and characterization,Anca-Ionela Istrate,9,282-294,,research,80,90,85,60,84.75,78.56,78.56,ADEQUATE,False,
enache2016,2016,19,3,2016-v19-n3,High Accuracy Amperometric Sense and Control Circuit for Three-electrode Biosensors,Andrei Enache,6,295-308,,research,80,90,85,70,84.75,81.06,81.06,STRONG,False,
ionescu2016,2016,19,4,2016-v19-n4,Studies on the development of an inferential method for battery state of health assessment,Octavian Ionescu,4,310-320,,research,85,90,85,50,86.75,77.56,77.56,ADEQUATE,False,
milea2016,2016,19,4,2016-v19-n4,Using pressure sensors for motion detection and actuation of remote manipulation devices,P.L. Milea,6,321-330,,research,70,85,80,55,77.75,72.06,72.06,ADEQUATE,False,
gasanov2016,2016,19,4,2016-v19-n4,The Computer Program for the Study of Nanoparticles in Basis of Slater Atomic Orbitals,Arzuman G. Gasanov,2,331-337,,research,85,80,75,60,80.75,75.56,75.56,ADEQUATE,False,
shukla2016,2016,19,4,2016-v19-n4,Training Cellular Automata for Image Edge Detection,Anand Prakash Shukla,1,338-359,,research,85,85,85,45,85.0,75.0,75.0,ADEQUATE,False,
dascalu2016,2016,19,4,2016-v19-n4,Cellular Automata Hardware Implementations - an Overview,Monica Dascalu,1,360-368,,research,90,85,80,30,85.75,71.81,71.81,ADEQUATE,False,
mahalingam2016,2016,19,4,2016-v19-n4,Locally Evolving Splicing Systems,Kalpana Mahalingam,2,369-384,,research,95,90,90,20,92.0,74.0,74.0,ADEQUATE,False,
yu2017,2017,20,1,2017-v20-n1,Fault Diagnosis of Power Systems Using Fuzzy Reasoning Spiking Neural P Systems with Interval-valued Fuzzy Numbers,Wenping Yu,6,5-17,,research,80,90,85,30,84.75,71.06,71.06,ADEQUATE,False,
rong2017,2017,20,1,2017-v20-n1,A Novel Approach to Fault Classification of Power Transmission Lines Using Singular Value Decomposition and Fuzzy Reasoning Spiking Neural P Systems,Haina Rong,5,18-31,,research,80,90,90,40,86.0,74.5,74.5,ADEQUATE,False,
wang2017,2017,20,1,2017-v20-n1,Spiking Neural P Systems with Anti-Spikes and without Annihilating Priority,Xun Wang,5,32-41,,research,90,95,90,20,91.75,73.81,73.81,ADEQUATE,False,
pan2017,2017,20,1,2017-v20-n1,Flat maximal parallelism in tissue P systems with promoters,Linqiang Pan,4,42-56,,research,90,90,90,30,90.0,75.0,75.0,ADEQUATE,False,
carandang2017,2017,20,1,2017-v20-n1,CuSNP: Spiking Neural P Systems Simulators in CUDA,Jym Paul A. Carandang,5,57-70,,research,75,90,85,70,82.75,79.56,79.56,ADEQUATE,False,
valencia2017,2017,20,1,2017-v20-n1,A Simulation Software Tool for Cell-like Spiking Neural P Systems,Luis Valencia-Cabrera,5,71-84,,research,80,90,85,90,84.75,86.06,86.06,STRONG,False,
groza2018,2018,21,1,2018-v21-n1,Digitally controlled oscillator for all-digital frequency locked loops,R. Groza,4,3-17,,research,85,90,85,60,86.75,80.06,80.06,STRONG,False,
datcu2018,2018,21,1,2018-v21-n1,Dynamically changing the secret key of an FPGA chaos-based cipher,Octaviana Datcu,3,18-33,,research,80,85,80,50,81.75,73.81,73.81,ADEQUATE,False,
dragan2018,2018,21,1,2018-v21-n1,Charge retention of a Floating gate Transistor for a Reset Controller,Anca Mihaela Dragan,5,34-48,,research,85,90,90,80,88.0,86.0,86.0,STRONG,False,
pachiu2018,2018,21,1,2018-v21-n1,Fabrication and characterization of suspended microstructures of ultrananocrystalline diamond,C. Pachiu,10,49-60,,research,85,90,85,70,86.75,82.56,82.56,STRONG,False,
moagar2018,2018,21,1,2018-v21-n1,3D Printed acceleration sensor: a case study,G. Moagar-Poladian,3,61-81,,research,75,85,80,60,79.75,74.81,74.81,ADEQUATE,False,
sandu2018,2018,21,1,2018-v21-n1,Modeling issues regarding thermal conductivity of graphene-based nanocomposites,Titus Sandu,5,82-92,,research,80,90,85,40,84.75,73.56,73.56,ADEQUATE,False,
serban2018,2018,21,1,2018-v21-n1,Nanostructured semiconducting metal oxides for ethanol gas sensing. A possible HSAB interpretation,B. C. Serban,5,93-96,,research,90,85,75,30,84.5,70.88,70.88,ADEQUATE,False,
paper584,2018,21,2,2018-v21-n2,Stylometric and Topic Analysis of a Historical Text: A Computerized Study of General Averescu's 'War Memoirs' (1916-1918),Horia Nicolai L. Teodorescu,2,99-113,,research,85,90,85,30,86.75,72.56,72.56,ADEQUATE,False,
paper585,2018,21,2,2018-v21-n2,IT Driven Distributed Consensus for an Integrated Globalized World,Gheorghe M. Stefan,2,114-128,,research,70,85,70,0,75.25,56.44,51.44,LIMITED,False,NO_LIMITATIONS
paper586,2018,21,2,2018-v21-n2,Peripheral Nerve WIFI Interfaces and Electrodes for Mechatronic Prosthetic Hand,A. M. Oproiu,15,129-138,,research,85,90,80,50,85.5,76.62,76.62,ADEQUATE,False,
paper587,2018,21,2,2018-v21-n2,Mechatronic Finger Structure with Pressure-Sensitive Conductive Layer,O. G. Dontu,16,139-150,,research,90,90,80,60,87.5,80.62,80.62,STRONG,False,
paper588,2018,21,2,2018-v21-n2,WorldCIST'18 Special Section Introduction,Alvaro Rocha,1,151-152,,research,100,100,100,0,100.0,75.0,75.0,ADEQUATE,False,
paper589,2018,21,2,2018-v21-n2,Intelligent Optimization on Correlation Entropy Matter-element Model of Innovation and Reform Pilot Area,Zhenyuan Liu,5,153-171,,research,60,85,75,30,72.5,61.88,56.88,LIMITED,False,ELEVATED_SELF_CITATION
paper590,2018,21,2,2018-v21-n2,Study on Collaborative Control of Vehicle System at Road Intersection in Dynamic Competitive Environment,Han Peng,1,172-180,,research,75,90,75,30,80.25,67.69,67.69,ADEQUATE,False,
paper591,2018,21,2,2018-v21-n2,Analysis on Knowledge Innovation Efficiency of Agricultural Sci-tech Journal Community: Perspective of Knowledge Communication,Ping Li,3,181-192,,research,80,90,80,40,83.5,72.62,72.62,ADEQUATE,False,
paper592,2018,21,2,2018-v21-n2,Analysis of Abnormal Crowd Movements based on Features Tracking,Silviu-Ioan Bejinariu,2,193-205,,research,85,90,85,50,86.75,77.56,77.56,ADEQUATE,False,
paper593,2018,21,3,2018-v21-n3,A Homomorphic Property of the Cryptosystems Based on Word Problem,P. Jeyanthi Abisha,2,210-218,,research,85,90,85,30,86.75,72.56,72.56,ADEQUATE,False,
paper594,2018,21,3,2018-v21-n3,Multihanded and Near Perfect Self Assembling of Tile Assembling Systems,P. Helen Chandra,2,219-231,,research,85,90,90,30,88.0,73.5,73.5,ADEQUATE,False,
paper595,2018,21,3,2018-v21-n3,Internally Expandable Pushdown Automata and Their Computational Completeness,Lucie Charvat,2,232-237,,research,90,90,90,20,90.0,72.5,72.5,ADEQUATE,False,
paper596,2018,21,3,2018-v21-n3,Picture Scanning Automata and Group Actions on Pictures,Henning Fernau,3,238-248,,research,85,90,85,20,86.75,70.06,70.06,ADEQUATE,False,
paper597,2018,21,3,2018-v21-n3,3D DNA Origami Map Structure Simulation,Corina Itcus,11,249-255,,research,85,90,75,50,84.25,75.69,75.69,ADEQUATE,False,
paper598,2018,21,3,2018-v21-n3,On a Special Variant of Rauzy Graphs,K. Mahalingam,3,256-266,,research,85,90,90,20,88.0,71.0,71.0,ADEQUATE,False,
paper599,2018,21,3,2018-v21-n3,Palindromic Properties of Two-Dimensional Fibonacci Words,K. Mahalingam,3,267-277,,research,85,90,85,20,86.75,70.06,70.06,ADEQUATE,False,
paper600,2018,21,3,2018-v21-n3,On k#$-Rewriting Systems,Jiri Kucera,3,278-287,,research,90,90,90,20,90.0,72.5,72.5,ADEQUATE,False,
paper601,2018,21,3,2018-v21-n3,The Unique Satisfiability Problem from a Membrane Computing Perspective,David Orellana-Martin,4,288-297,,research,85,90,90,30,88.0,73.5,73.5,ADEQUATE,False,
paper602,2018,21,3,2018-v21-n3,Accepting H-Array Splicing Systems and Their Properties,D. K. Sheena Christy,5,298-309,,research,85,90,85,20,86.75,70.06,70.06,ADEQUATE,False,
paper603,2018,21,3,2018-v21-n3,A Quick Survey of Tissue-Like P Systems,Bosheng Song,4,310-321,,research,80,90,90,20,86.0,69.5,69.5,ADEQUATE,False,
paper604,2018,21,4,2018-v21-n4,Perspectives in Fuzzy Logic and Fuzzy Systems,Horia-Nicolai Teodorescu,1,324-327,,research,90,95,90,0,91.75,68.81,68.81,ADEQUATE,False,
paper605,2018,21,4,2018-v21-n4,An extension of ELECTRE to multi-criteria decision making problems with extended hesitant fuzzy sets,Kexing Zhao,2,328-343,,research,75,85,80,0,79.75,59.81,54.81,LIMITED,False,ELEVATED_FORMALISM
paper606,2018,21,4,2018-v21-n4,Logic Connectives of Complex Fuzzy Sets,Tran Thi Ngan,8,344-357,,research,80,90,85,30,84.75,71.06,71.06,ADEQUATE,False,
paper607,2018,21,4,2018-v21-n4,Experiments in Incremental Online Identification of Fuzzy Models of Finger Dynamics,Radu-Emil Precup,5,358-376,,research,75,90,85,40,82.75,72.06,72.06,ADEQUATE,False,
paper608,2018,21,4,2018-v21-n4,A MANFIS model of the 3D head position based on a wearable system,Dan-Marius Dobrea,2,377-391,,research,80,85,85,50,83.0,74.75,74.75,ADEQUATE,False,
paper609,2018,21,4,2018-v21-n4,Development of a fuzzy logic-based loading algorithm in the selection of the most appropriate cargo package for cleaning and cosmetic products,Mehmet Karali,1,392-405,,research,85,80,85,80,83.25,82.44,82.44,STRONG,False,
paper610,2018,21,4,2018-v21-n4,Fuzzy logic approach for temperature analysis in multi-jet air impingement investigation,P. Indira Priya,3,406-428,,research,75,85,85,60,81.0,75.75,75.75,ADEQUATE,False,
paper611,2018,21,4,2018-v21-n4,Sliding Mode Control via Fuzzy Multi-Level Switching control scheme for DFIG based WECS,S. Labdai,4,429-445,,research,80,85,85,50,83.0,74.75,74.75,ADEQUATE,False,
paper612,2018,21,4,2018-v21-n4,A Character-Based Part-of-Speech Tagger with Feedforward Neural Networks,Aliaksei Kolesau,3,446-459,,research,85,90,90,80,88.0,86.0,86.0,STRONG,False,
paper613,2018,21,4,2018-v21-n4,Decoding communication: a deep learning approach to voice-based intention detection,Eduard Franti,7,460-474,,research,85,85,80,60,83.75,77.81,77.81,ADEQUATE,False,
sandu2019,2019,22,1,2019-v22-n1,Modal Approach to the Theory of Energy Transfer Mediated by a Metallic Nanosphere,Titus Sandu,4,3-13,,research,90,95,90,30,91.75,76.31,76.31,ADEQUATE,False,
banu2019,2019,22,1,2019-v22-n1,Electro-Optical Method for Surface Recombination Evaluation in Silicon Carbide Bipolar Junction Transistors,Viorel Banu,4,14-29,,research,85,95,90,50,89.75,79.81,79.81,ADEQUATE,False,
comanescu2019,2019,22,1,2019-v22-n1,Assessing by Raman spectroscopy the quality of CVD graphene transferred on oxidized silicon and quartz substrates,Florin Comanescu,3,30-40,,research,80,95,85,40,86.5,74.88,74.88,ADEQUATE,False,
cobianu2019,2019,22,1,2019-v22-n1,Effect of Silicon Surface Cleaning on Electrical Properties of As-Deposited Atomically Layer-Deposited (ALD) HfO2 Films Obtained From Tetrakis(dimethylamino)Hafnium (TDMAH) and Water,Cornel Cobianu,9,41-56,,research,80,90,90,60,86.0,79.5,79.5,ADEQUATE,False,
ravariu2019,2019,22,1,2019-v22-n1,Technological aspects and simulation results for the Nothing On Insulator device developed into a planar technology,Cristian Ravariu,7,57-68,,research,75,85,80,50,79.75,72.31,72.31,ADEQUATE,False,
hurez2019,2019,22,1,2019-v22-n1,Galvanically Isolated IGBT Gate Driver with Advanced Protections and A Fault Detection and Reporting Method,Ines Hurez,5,69-84,,research,85,95,90,70,89.75,84.81,84.81,STRONG,False,
bancioiu2019,2019,22,1,2019-v22-n1,Efficiency Optimizations for Koller and Sahami's Feature Selection Algorithm,Camil Bancioiu,3,85-99,,research,85,95,90,80,89.75,87.31,87.31,STRONG,False,
paper621,2019,22,2,2019-v22-n2,Analytical modelling of a lateral dual gate MESFET for integrated circuit in SiC,J.F. Mogniotte,4,103-110,,research,85,90,85,70,86.75,82.56,82.56,STRONG,False,
paper622,2019,22,2,2019-v22-n2,Packaging approaches for GaN/Si SAW Band Pass Filters with Operating Frequencies above 5 GHz,A.C. Bunea,3,111-123,,research,80,95,90,80,87.75,85.81,85.81,STRONG,False,
paper623,2019,22,2,2019-v22-n2,Microfabrication and experimental characterization of an Out-of-Plane MEMS switch,Angela Baracu,7,124-134,,research,75,90,85,70,82.75,79.56,79.56,ADEQUATE,False,
paper624,2019,22,2,2019-v22-n2,Design and fabrication of tubes-guided structure with electrical stimulation module for neural regeneration and in-vivo testing,C. Moldovan,22,135-143,,research,80,85,80,70,81.75,78.81,78.81,ADEQUATE,False,
paper625,2019,22,2,2019-v22-n2,Design of Over-Temperature Protection for Switched-Capacitor DC-DC Converter Based on Electro-Thermal Simulations,Cosmin-Sorin Plesa,3,144-157,,research,80,90,90,80,86.0,84.5,84.5,STRONG,False,
paper626,2019,22,2,2019-v22-n2,An Improved I/O Pin for Serial Communication Interfaces,Anca Mihaela Dragan,5,158-180,,research,75,90,90,60,84.0,78.0,78.0,ADEQUATE,False,
paper627,2019,22,3-4,2019-v22-n34,An Overview of Industry 4.0 Development Directions in the Industrial Internet of Things Context,Andrei Nicolae,3,183-201,,research,90,85,85,30,87.0,72.75,72.75,ADEQUATE,False,
paper628,2019,22,3-4,2019-v22-n34,Architecture of Smart Sensors for Real Time Drinking Water Quality and Contamination Detection in Water Distributed Mains,S. Kavi Priya,3,202-214,,research,85,90,80,70,85.5,81.62,81.62,STRONG,False,
paper629,2019,22,3-4,2019-v22-n34,Perceptron-Based Selective Load Value Prediction in a Multicore Architecture,Arpad Gellert,3,215-227,,research,85,90,90,50,88.0,78.5,78.5,ADEQUATE,False,
paper630,2019,22,3-4,2019-v22-n34,Security Enhancement in In-vehicle Controller Area Networks by Electronic Control Unit Authentication,Murugesan Lakshmanan,2,228-243,,research,80,90,85,60,84.75,78.56,78.56,ADEQUATE,False,
paper631,2019,22,3-4,2019-v22-n34,Clustering Algorithm for Multi-density Datasets,Ahmed Fahim,1,244-258,,research,85,90,85,40,86.75,75.06,75.06,ADEQUATE,False,
paper632,2019,22,3-4,2019-v22-n34,Hadith Classification using Machine Learning Techniques According to its Reliability,Hammam M. Abdelaal,2,259-271,,research,80,85,80,40,81.75,71.31,71.31,ADEQUATE,False,
paper633,2019,22,3-4,2019-v22-n34,Adaptive Neuro-Fuzzy Inference System for Non-linear Classification Problem of Theobroma cacao Image,Kestrilia Rega Prilianti,6,272-283,,research,80,90,90,60,86.0,79.5,79.5,ADEQUATE,False,
paper634,2019,22,3-4,2019-v22-n34,IT-Based Financial Confirmation & Diagnosis Mechanisms,Razvan Mihai,6,284-299,,research,75,85,75,30,78.5,66.38,66.38,ADEQUATE,False,
borangiu2020,2020,23,1,2020-v23-n1,Digital transformation of manufacturing. Industry of the Future with Cyber-Physical Production Systems,Theodor Borangiu,6,3-37,,research,85,90,85,30,86.75,72.56,72.56,ADEQUATE,False,
priya2020,2020,23,1,2020-v23-n1,Adaptive Power Control and Duty Cycle based Medium Access Control Protocol for Cluster based Wireless Sensor Network,B. Priya,2,38-54,,research,75,90,80,30,81.5,68.62,68.62,ADEQUATE,False,
mahule2020,2020,23,1,2020-v23-n1,Towards Knowledge Discovery in interlinked heterogeneous datasets of LOD cloud,Rajesh Mahule,3,55-68,,research,80,85,85,40,83.0,72.25,72.25,ADEQUATE,False,
kavya2020,2020,23,1,2020-v23-n1,Fall Detection System for Elderly People using Vision-Based Analysis,Thathupara Subramanyan Kavya,4,69-83,,research,80,85,90,50,84.25,75.69,75.69,ADEQUATE,False,
zhang2020,2020,23,1,2020-v23-n1,A Software Tool for Spiking Neural P Systems,Taosheng Zhang,3,84-92,,research,85,90,85,90,86.75,87.56,87.56,STRONG,False,
serban2020,2020,23,1,2020-v23-n1,Optimization of Sensing Layers Selection Process for Relative Humidity Sensors,Bogdan Catalin Serban,8,93-104,,research,85,85,80,20,83.75,67.81,67.81,ADEQUATE,False,
saravanan2020,2020,23,1,2020-v23-n1,Synthesis of SiO2 Nanoparticles by Sol-Gel Method and Their Optical and Structural Properties,S. Saravanan,2,105-112,,research,85,90,80,30,85.5,71.62,71.62,ADEQUATE,False,
paper642,2020,23,2,2020-v23-n2,Architectural Features for Artificial Intelligence & Blockchain in the Nano-Era,Mihaela Malita,3,115-126,,research,75,90,80,40,81.5,71.12,71.12,ADEQUATE,False,
paper643,2020,23,2,2020-v23-n2,New steps for advancing the Nothing On Insulator Triode 3nm gap and preliminary expanded technology,Cristian Ravariu,4,127-139,,research,80,75,85,60,79.5,74.62,74.62,ADEQUATE,False,
paper644,2020,23,2,2020-v23-n2,Wideband Sub-terahertz Coplanar Waveguide-Fed Spiral Antenna,Alina-Cristina Bunea,4,140-156,,research,85,95,90,80,89.75,87.31,87.31,STRONG,False,
paper645,2020,23,2,2020-v23-n2,Low cost approaches for High Resolution Digitally Programmable Potentiometers,Giorgiana-Catalina Ilie (Chiranu),4,157-175,,research,85,95,90,50,89.75,79.81,79.81,ADEQUATE,False,
paper646,2020,23,2,2020-v23-n2,New Extraction Method of the Bipolar Transistor Model Parameters Used in Bandgap Voltage References,Stefan Marinca,4,176-187,,research,80,90,85,60,84.75,78.56,78.56,ADEQUATE,False,
paper647,2020,23,2,2020-v23-n2,Analysis and design of a high efficiency current mode buck converter with I2C controlled output voltage,Cosmin Alexandru Iordache,2,188-203,,research,80,95,85,70,86.5,82.38,82.38,STRONG,False,
paper648,2020,23,2,2020-v23-n2,A comparison between the Gm based implementations of voltage mode and current mode capacitance multipliers,Gabriel Bonteanu,4,204-220,,research,75,95,85,80,84.5,83.38,83.38,STRONG,False,
paper659,2020,23,3,2020-v23-n3,Recovery of old dialectal materials and maps through image processing,Silviu-Ioan Bejinariu,5,223-237,,research,85,95,90,60,89.75,82.31,82.31,STRONG,False,
paper660,2020,23,3,2020-v23-n3,Predicting Students Final GPA using 15 Classification Algorithms,Njoud Alangari,2,238-249,,research,90,90,85,30,88.75,74.06,74.06,ADEQUATE,False,
paper661,2020,23,3,2020-v23-n3,Evaluating the Impact of Feature Selection Methods on the Performance of the Machine Learning Models in Detecting DDoS Attacks,Naveen Bindra,2,250-261,,research,85,90,85,50,86.75,77.56,77.56,ADEQUATE,False,
paper662,2020,23,3,2020-v23-n3,Sparse Matrix-Vector Multiplication on a Map-Reduce Many-Core Accelerator,Voichita Dragomir,2,262-273,,research,85,95,90,40,89.75,77.31,77.31,ADEQUATE,False,
paper663,2020,23,3,2020-v23-n3,Specific Absorption Rate Calculation Model in Case of Exposure to Microwaves Sources,L. El Amrani,3,274-291,,research,80,90,85,50,84.75,76.06,76.06,ADEQUATE,False,
paper664,2020,23,3,2020-v23-n3,Wavelet Based Performance Analysis of SVM and RBF Kernel for Classifying Stress Conditions of Sleep EEG,Prabhat Kumar Upadhyay,2,292-310,,research,80,90,90,40,86.0,74.5,74.5,ADEQUATE,False,
paper665,2020,23,3,2020-v23-n3,Probabilistic modeling of the self-assembly of the 1-dimensional DNA structures,Alex Amarioarei,5,311-329,,research,85,95,85,50,88.5,78.88,78.88,ADEQUATE,False,
braic2020,2020,23,4,2020-v23-n4,Ascertaining the root-cause of discrepancies between simulations and measurements for a SC DC-DC converter,Nicolae Adrian Braic,5,333-353,,research,85,90,85,30,86.75,72.56,72.56,ADEQUATE,False,
kataria2020,2020,23,4,2020-v23-n4,Data Prediction of Electromagnetic Head Tracking using Self Healing Neural Model for Head-Mounted Display,Aman Kataria,3,354-367,,research,75,90,80,20,81.5,66.12,66.12,ADEQUATE,False,
marinescu2020,2020,23,4,2020-v23-n4,Electrochemical sensors with interdigitated electrodes for counting T-cells,Maria-Roxana Marinescu,6,368-378,,research,80,85,75,40,80.5,70.38,65.38,ADEQUATE,False,NO_LIMITATIONS
biliaiev2020,2020,23,S,2020-v23-nS,Numerical simulation of toxic chemical transport after accidental release at chemical plant,Mykola Biliaiev,5,S3-S13,,research,85,90,80,30,85.5,71.62,71.62,ADEQUATE,False,
dascalu2020,2020,23,S,2020-v23-nS,Enhanced Cellular Automata with Autonomous Agents for Covid-19 Pandemic Modeling,Monica Dascalu,5,S15-S27,,research,80,90,85,30,84.75,71.06,71.06,ADEQUATE,False,
vatavu2020,2020,23,S,2020-v23-nS,Connecting Research from Assistive Vision and Smart Eyewear Computing with Crisis Management and Mitigation Systems: A Position Paper,Radu-Daniel Vatavu,1,S29-S39,,research,85,90,75,40,84.25,73.19,73.19,ADEQUATE,False,
pirnau2020,2020,23,S,2020-v23-nS,The Social Networks information noise in crisis situations,Mironela Pirnau,1,S41-S52,,research,75,90,75,40,80.25,70.19,70.19,ADEQUATE,False,
dobrea2020,2020,23,S,2020-v23-nS,An autonomous UAV system for video monitoring of the quarantine zones,Dan-Marius Dobrea,2,S53-S66,,research,80,90,85,70,84.75,81.06,81.06,STRONG,False,
barbu2020,2020,23,S,2020-v23-nS,A Nonlinear Second-order Hyperbolic PDE-based Photon-limited Medical Microscopy Image Restoration Technique,Tudor Barbu,1,S67-S76,,research,85,90,85,40,86.75,75.06,75.06,ADEQUATE,False,
pop2020,2020,23,S,2020-v23-nS,Cough Sound Recognition in Respiratory Disease Epidemics,Gheorghe Pop,4,S77-S88,,research,80,90,80,50,83.5,75.12,75.12,ADEQUATE,False,
singh2020,2020,23,S,2020-v23-nS,Diagnosis of Coronavirus Disease (COVID-19) from Chest X-Ray images using modified XceptionNet,Krishna Kant Singh,3,S91-S115,,research,80,85,85,50,83.0,74.75,74.75,ADEQUATE,False,
benbrahim2020,2020,23,S,2020-v23-nS,Deep Transfer Learning with Apache Spark to Detect COVID-19 in Chest X-ray Images,Houssam Benbrahim,3,S117-S129,,research,75,90,80,50,81.5,73.62,73.62,ADEQUATE,False,
precup2020,2020,23,T,2020-v23-nT,Editorial: Special Issue on Optimization Problems in Information Science and Technology,Radu-Emil Precup,1,T1-T4,,research,100,95,90,0,95.75,71.81,71.81,ADEQUATE,False,
